month,member_casual,number_of_ride,average_duration
Jan,casual,12387,7150.543150076694
Jan,member,234769,782.4446881828521
Feb,casual,14952,8127.5696227929375
Feb,member,220262,783.6104321217459
Mar,casual,40538,3813.4898613646455
Mar,member,265281,816.2531240458231
